Year,Make,Model,average buyer rating,# of buyers,average seller rating,# of sellers,,,adjusted buyer ranking,adjusted sellers ranking,,buyer rating reliability,seller rating reliability,,final ranking
2019,Toyota,Sienna SE,4.6,90,2.7,9,,,4.59,1.73,,98.94,2.74,,4.51
2018,Ford,F-150 Lariat,4.8,11438,4.76,26641,,,4.8,4.76,,100.0,100.0,,4.78
2017,RAM,1500 Laramie,4.7,1980,4.88,13584,,,4.7,4.88,,100.0,100.0,,4.79
2021,Honda,Accord Sport SE,5.0,36,4.6,284,,,4.17,4.6,,16.99,100.0,,4.54
2020,Lexus,RX 350,4.8,380,4.78,5043,,,4.8,4.78,,100.0,100.0,,4.79
2012,Toyota,4Runner SR5,4.7,34,4.4,1071,,,3.84,4.4,,14.02,100.0,,4.33
2017,Honda,HR-V LX,4.6,400,4.4,2827,,,4.6,4.4,,100.0,100.0,,4.5
2014,Mercedes-Benz,E-Class E 350,4.8,3168,4.6,11700,,,4.8,4.6,,100.0,100.0,,4.7
2021,Honda,Pilot Touring 8-Passenger,4.8,63,4.9,237,,,4.61,4.9,,81.36,100.0,,4.77
2020,Dodge,Charger Scat Pack,4.8,392,4.57,7622,,,4.8,4.57,,100.0,100.0,,4.69
2017,Lexus,RC 350 Base,4.8,28,4.72,2298,,,3.88,4.72,,7.63,100.0,,4.66
2013,Lexus,GS 350 Base,4.7,243,4.75,2180,,,4.7,4.75,,100.0,100.0,,4.72
2017,Lexus,RX 350 RX 350,4.7,261,4.9,200,,,4.7,4.9,,100.0,100.0,,4.8
2018,Ford,Explorer XLT,4.8,6095,4.77,30303,,,4.8,4.77,,100.0,100.0,,4.79
2021,Subaru,Crosstrek Premium,4.8,234,4.23,937,,,4.8,4.23,,100.0,100.0,,4.51
2021,Acura,RDX A-Spec,4.8,294,4.69,3347,,,4.8,4.69,,100.0,100.0,,4.74
2021,Subaru,Forester Sport,4.9,327,4.55,207,,,4.9,4.55,,100.0,100.0,,4.72
2018,Subaru,Crosstrek 2.0i Premium,4.8,2744,4.71,2748,,,4.8,4.71,,100.0,100.0,,4.75
2016,BMW,435 Gran Coupe i xDrive,4.8,32,5.0,14,,,3.92,4.08,,11.51,7.91,,3.98
2019,Honda,Odyssey EX-L,4.6,1995,4.78,22983,,,4.6,4.78,,100.0,100.0,,4.69
2016,Honda,Odyssey EX-L,4.7,100,4.7,1563,,,4.7,4.7,,99.66,100.0,,4.7
2020,Mercedes-Benz,GLC 300 Base,4.8,315,4.63,6107,,,4.8,4.63,,100.0,100.0,,4.71
2019,Audi,Q5 2.0T Premium,4.7,672,4.66,27522,,,4.7,4.66,,100.0,100.0,,4.68
2014,BMW,428 i,4.8,61,4.3,6,,,4.58,3.31,,77.67,1.42,,4.55
2019,Volvo,XC60 T5 Momentum,4.9,1312,4.79,26088,,,4.9,4.79,,100.0,100.0,,4.85
2019,Lincoln,MKZ Standard,4.9,128,4.75,457,,,4.9,4.75,,99.99,100.0,,4.82
2020,Subaru,Ascent Touring 7-Passenger,4.8,830,4.68,8175,,,4.8,4.68,,100.0,100.0,,4.74
2017,Land,Rover Range Rover Evoque SE Premium,4.3,84,4.54,934,,,4.28,4.54,,97.92,100.0,,4.41
2022,Acura,MDX A-Spec,4.9,48,4.7,1127,,,4.34,4.7,,44.36,100.0,,4.59
2022,Honda,Pilot EX-L,5.0,3,4.74,1322,,,4.0,4.74,,0.48,100.0,,4.74
2019,Chevrolet,Impala Premier 2LZ,4.7,183,4.7,2769,,,4.7,4.7,,100.0,100.0,,4.7
2013,INFINITI,G37 x,4.7,131,4.7,923,,,4.7,4.7,,99.99,100.0,,4.7
2017,Honda,Civic EX,4.8,2972,4.35,990,,,4.8,4.35,,100.0,100.0,,4.57
2017,Tesla,Model S 75,4.6,37,4.2,380,,,3.79,4.2,,18.64,100.0,,4.14
2021,Honda,Pilot Special Edition,4.8,1386,4.58,22497,,,4.8,4.58,,100.0,100.0,,4.69
2015,Jeep,Grand Cherokee SRT,4.8,592,4.7,258,,,4.8,4.7,,100.0,100.0,,4.75
2011,Ford,Explorer Limited,4.3,112,4.2,34,,,4.3,4.08,,99.91,88.17,,4.2
2017,BMW,M240 i,4.7,40,4.59,4655,,,3.94,4.59,,24.36,100.0,,4.46
2020,Volvo,XC60 T5 Inscription,4.9,117,4.8,19415,,,4.9,4.8,,99.95,100.0,,4.85
