Year,Make,Model,Used/New,Price
2019,Toyota,Sienna SE,Used,39998
2018,Ford,F-150 Lariat,Used,49985
2017,RAM,1500 Laramie,Used,41860
2021,Honda,Accord Sport SE,Used,28500
2020,Lexus,RX 350,Used,49000
2012,Toyota,4Runner SR5,Used,23541
2017,Honda,HR-V LX,Used,20995
2014,Mercedes-Benz,E-Class E 350,Used,18985
2021,Honda,Pilot Touring 8-Passenger,Used,44299
2020,Dodge,Charger Scat Pack,Dodge Certified,46773
2017,Lexus,RC 350 Base,Used,42734
2013,Lexus,GS 350 Base,Used,16990
2017,Lexus,RX 350 RX 350,Used,36450
2020,Dodge,Charger Scat Pack,Dodge Certified,47500
2020,Dodge,Charger Scat Pack,Used,41000
2017,Lexus,RC 350 Base,Used,41493
2018,Ford,Explorer XLT,Used,32995
2021,Subaru,Crosstrek Premium,Used,25500
2018,Ford,Explorer XLT,Used,33341
2018,Ford,Explorer XLT,Used,30489
2018,Ford,Explorer XLT,Used,32489
2021,Acura,RDX A-Spec,Used,37000
2021,Acura,RDX A-Spec,Used,38000
2018,Ford,Explorer XLT,Used,31672
2021,Subaru,Forester Sport,Used,29500
2018,Subaru,Crosstrek 2.0i Premium,Used,31995
2018,Subaru,Crosstrek 2.0i Premium,Used,24561
2018,Subaru,Crosstrek 2.0i Premium,Used,24921
2016,BMW,435 Gran Coupe i xDrive,Used,30995
2016,BMW,435 Gran Coupe i xDrive,Used,30995
2019,Honda,Odyssey EX-L,Used,38347
2016,Honda,Odyssey EX-L,Used,28999
2020,Mercedes-Benz,GLC 300 Base,Used,43451
2019,Audi,Q5 2.0T Premium,Used,37300
2014,BMW,428 i,Used,27741
2019,Volvo,XC60 T5 Momentum,Used,40782
2019,Honda,Odyssey EX-L,Used,38900
2019,Lincoln,MKZ Standard,Used,30691
2020,Subaru,Ascent Touring 7-Passenger,Used,31754
2017,Land,Rover Range Rover Evoque SE Premium,Used,34555
2022,Acura,MDX A-Spec,Acura Certified,58995
2022,Honda,Pilot EX-L,Used,41535
2019,Chevrolet,Impala Premier 2LZ,Used,26998
2013,INFINITI,G37 x,Used,17300
2017,Honda,Civic EX,Used,22004
2017,Tesla,Model S 75,Used,47000
2021,Honda,Pilot Special Edition,Honda Certified,43296
2015,Jeep,Grand Cherokee SRT,Used,52884
2011,Ford,Explorer Limited,Used,12290
2017,BMW,M240 i,Used,33900
2020,Volvo,XC60 T5 Inscription,Used,41389
2018,Honda,Civic EX,Used,23739
2020,BMW,X1 xDrive28i,Used,32893
2020,BMW,X1 xDrive28i,Used,30693
2019,Acura,ILX Premium & A-SPEC Packages,Used,23995
2021,Chrysler,300 S,Used,30000
2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,Used,53000
2019,BMW,Z4 sDrive30i,Used,46500
2016,Land,Rover Range Rover,Used,51000
2011,Ford,F-150 Lariat,Used,18973
2018,Mazda,CX-5 Grand Touring,Used,25549
2018,Kia,Sportage LX,Used,18500
2017,Volkswagen,Tiguan Sport,Used,20000
2017,Chrysler,300 S,Used,33558
2020,Tesla,Model X Performance,Used,122222
2019,Subaru,Impreza 2.0i Premium,Used,4075
2019,Jeep,Cherokee Latitude Plus,Used,27500
2019,Jeep,Cherokee Latitude Plus,Used,21795
2018,BMW,320 i xDrive,Used,25950
2016,Porsche,Cayenne Base,Used,44998
2016,Nissan,Rogue SV,Used,19949
2014,Mercedes-Benz,E-Class E 350 4MATIC,Used,14500
2012,BMW,X5 xDrive35i Premium,Used,12499
2020,Hyundai,Santa Fe SEL 2.4,Used,30187
2020,Hyundai,Santa Fe SEL 2.4,Used,28959
2019,Mercedes-Benz,AMG E 63 S 4MATIC,Mercedes-Benz Certified,106999
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,71458
2020,Hyundai,Santa Fe SEL 2.4,Used,30716
2020,Hyundai,Elantra SE,Used,17995
2020,BMW,X3 M40i,Used,49995
2019,Volkswagen,Golf R 2.0T w/DCC & Navigation,Used,40500
