Dealer,Average Final Rankings,Number of Different Cars Sold
Porsche Mechanicsburg,4.99,62
Stevens Creek Mazda,4.94,170
Classic Mazda,4.94,1118
Walser Polar Mazda,4.92,775
Wayne Mazda,4.92,8210
Autodirect Cars & Corvettes,4.9,6455
Audi Omaha,4.89,88
Volvo Cars Mall of Georgia,4.89,4214
Niello BMW Elk Grove,4.89,69
Hoffman Audi of New London,4.89,2288
Land Rover Palm Beach,4.89,497
Portland Volvo Cars,4.89,1656
The Audi Exchange,4.89,2898
Sport Mazda North,4.89,6626
Gold Coast Maserati - Alfa Romeo,4.89,334
Lynn Layton Cadillac Nissan,4.89,335
Off Lease Only Palm Beach,4.89,82206
Volvo Cars Oklahoma City,4.89,921
Joey,4.89,273
Wilde Jaguar Land Rover Sarasota,4.88,7887
Lovering Volvo Cars Nashua,4.88,513
Kindle Auto Plaza,4.88,955
Red McCombs Superior Hyundai,4.88,484
Certified Autoplex; Inc.,4.88,1581
Pacifico Ford,4.88,4420
McLaren Charlotte,4.87,24
Right Place Auto Sales,4.87,334
Classic Lexus Willoughby Hills,4.87,742
Bert Ogden Toyota of Harlingen,4.87,238
Auto Broker Texas Inc,4.87,1202
Volvo Cars Worcester,4.87,33
Hill Buick GMC,4.87,1659
Johnson Volvo Cars Durham,4.87,104
Tarheel Auto Sales,4.87,1330
Auto Wholesale,4.87,1122
O'Gara Coach Beverly Hills,4.87,7
Ray Skillman Hyundai of Avon,4.86,928
Sunrise Toyota,4.86,471
Sheehy Ford Lincoln of Gaithersburg,4.86,6257
Sport Mazda South,4.86,19162
Ferrari Maserati of Central New Jersey,4.86,68
Southgate Lincoln,4.86,478
Bright Bay Lincoln,4.85,74
Volvo Cars Silver Spring,4.85,3182
Ultimo Motors East,4.85,169
Bommarito Nissan Ballwin,4.85,2464
North Point Volvo Cars,4.85,441
D-Patrick Ford Lincoln,4.85,362
Ride N Drive,4.85,32
Norman Frede Chevrolet,4.85,1104
Jaguar Land Rover Southwest Houston,4.85,509
Lexus of Brookfield,4.85,10123
Smith Motor Sales of Haverhill; Inc.,4.85,1365
Florida Fine Cars Margate,4.85,1354
AutoQ Car & Truck Sales,4.85,426
Abramovich Motors,4.85,83
Perkins Motor Plex of Paducah,4.85,189
Honda of the Avenues,4.85,5878
Cadillac of Beverly Hills,4.85,76
Ideal Motor Group,4.85,27
Hertz Car Sales Hayward,4.85,142
Jim Causley Buick GMC,4.85,1074
Germain Lexus of Dublin,4.84,387
Jim Wynn Volkswagen and Wynn Volvo Cars,4.84,2170
Kosters Car Korner,4.84,162
Weston Nissan Volvo Cars,4.84,29237
Woodhouse Chrysler Dodge Jeep RAM,4.84,137
Toyota of Bourbonnais,4.84,1521
Ford of Greenfield,4.84,999
Extreme Sportcars; Inc.,4.84,51
McLarty Nissan of Little Rock,4.84,1131
Oxmoor Mazda,4.84,3306
Ascension Honda,4.84,230
ANDRES,4.84,275
Acura of Orange Park,4.84,342
Gorges Volvo Cars,4.84,7972
Raceway Kia of Conshohocken,4.83,623
Sloane Porsche Audi,4.83,480
Lexus of Akron Canton,4.83,1113
Dave Sinclair Lincoln South,4.83,528
Dax's Deals; Inc,4.83,74
CarMax Grand Rapids (Kentwood) - Now offering Curbside Pickup,4.83,276
Outten Chevy of Allentown,4.83,507
EchoPark Automotive Atlanta (Marietta),4.83,654
Hyundai of Trenton,4.83,213
Germain Nissan,4.83,239
Sterling McCall Acura,4.83,737
Northwest Chrysler Jeep Dodge RAM,4.83,481
Zeigler Ford of Lowell,4.83,836
Duval Acura,4.83,4914
Van Horn Kia of Sheboygan,4.83,41
Arapahoe Hyundai,4.83,8613
Gates Chevy World,4.83,283
Waikem Subaru,4.83,892
Bob Brown Chevrolet,4.83,2160
Don Ayres Honda,4.83,9084
Ferman Volvo Cars of Tarpon Springs,4.83,2170
Turnersville Kia,4.83,2601
Russ Darrow Honda,4.83,2091
Unity Cadillac,4.82,344
